pid,team,name,number,pos,b_t,wt,ht,born,debut,edu,nationality,original_name,draft
0000000141,樂天桃猿二軍,董子浩,3,三壘手,右投左打,183,88,1996/08/11,2017/08/13,西苑高中,中華民國,,Lamigo桃猿2014年第三輪
0000004030,樂天桃猿二軍,詹智堯,8,中外野手,左投左打,178,83,1983/01/02,2009/03/29,臺灣體院,中華民國,,米迪亞暴龍2007年第一輪
0000000158,樂天桃猿二軍,廖健富,58,捕手,右投左打,178,88,1998/09/28,2017/09/24,高苑工商,中華民國,,Lamigo桃猿2017年第一輪
0000006507,樂天桃猿,豪勁,61,投手,右投右打,190,96,1989/05/12,2021/03/25,,美國,Bradin Hagens,
0000001524,樂天桃猿二軍,劉昱言,15,投手,左投左打,180,81,1994/07/27,2016/08/10,開南大學,中華民國,,Lamigo桃猿2016年第三輪
0000006242,樂天桃猿二軍,◎劉家誠,111,二壘手,右投右打,181,80,1998/03/25,,國立體大,中華民國,,
0000006498,樂天桃猿二軍,#歐飛登,13,投手,左投左打,188,79,1991/08/17,2021/03/16,,美國,Dillon Overton,
0000006202,樂天桃猿二軍,蔡鎮宇,24,左外野手,右投右打,168,78,1996/11/20,,美國太平洋大學,中華民國,,樂天桃猿2020年第九輪
0000006722,樂天桃猿二軍,*賴知頎,51,投手,右投左打,180,70,2003/07/26,,鶯歌工商,中華民國,,樂天桃猿2021年第五輪
0000002272,樂天桃猿二軍,賴智垣,19,投手,右投右打,178,86,1997/02/28,2019/03/24,臺灣體大(肄),中華民國,,Lamigo桃猿2018年第四輪
0000003292,樂天桃猿,賴鴻誠,48,投手,左投左打,180,75,1988/04/26,2012/03/20,,中華民國,,興農牛2010年第二輪
0000006714,樂天桃猿二軍,*鍾玉成,97,右外野手,右投左打,181,77,2003/02/10,,大溪高中,中華民國,,樂天桃猿2021年第四輪
0000003533,樂天桃猿二軍,藍寅倫,88,右外野手,右投左打,180,87,1990/05/07,2014/03/23,高苑科大,中華民國,,Lamigo桃猿2013年第七輪
0000006719,樂天桃猿二軍,◎藍震威,126,游擊手,右投右打,182,78,2002/12/03,,,中華民國,,
0000004032,樂天桃猿,嚴宏鈞,62,捕手,右投左打,165,70,1997/04/30,2017/07/25,美和高中,中華民國,,Lamigo桃猿2015年第十一輪
0000000150,樂天桃猿二軍,蘇俊羽,14,投手,右投右打,178,65,1996/10/30,2016/07/28,平鎮高中,中華民國,王 俊 羽,Lamigo桃猿2015年第五輪
0000005558,樂天桃猿二軍,蘇俊璋,00,投手,右投右打,180,92,1998/09/02,2019/09/12,南英商工,中華民國,,Lamigo桃猿2019年第一輪
0000005085,樂天桃猿,霸林爵,27,投手,左投左打,196,104,1991/02/04,2019/06/08,,美國,包林傑 Ryan Bollinger,
